PARAMETERS: 
 
labelset: weak 
split: train 
lambda: 0 
k: 3 
fine-tune: True 
ft_max_epochs: 2 
 
 
CLS: 
 
Run 1: 
 
File: ./results/weak_cls_3.json 
 
F1: 0.5761278195488722 
 
              precision    recall  f1-score   support

         LOC       0.56      0.86      0.68      2239
        MISC       0.67      0.43      0.53      1205
         ORG       0.32      0.34      0.33      2342
         PER       0.74      0.73      0.74      2295

   micro avg       0.55      0.61      0.58      8081
   macro avg       0.57      0.59      0.57      8081
weighted avg       0.56      0.61      0.57      8081
 
Relabeling rate: 0.019430797149559642 
 
 
SUM: 
 
Run 1: 
 
File: ./results/weak_sum_3.json 
 
F1: 0.5945723684210527 
 
              precision    recall  f1-score   support

         LOC       0.59      0.92      0.72      2239
        MISC       0.67      0.43      0.52      1205
         ORG       0.33      0.35      0.34      2342
         PER       0.76      0.73      0.74      2295

   micro avg       0.57      0.63      0.59      8081
   macro avg       0.59      0.61      0.58      8081
weighted avg       0.57      0.63      0.59      8081
 
Relabeling rate: 0.016686584340282362 
 
 
QUALITATIVE RELABELING EVALUATION: 
 
Token                Clean                Original             CLS                  SUM                  
 
NEW                  B-LOC                B-LOC                B-ORG                B-LOC                
YORK                 I-LOC                I-LOC                I-ORG                I-LOC                
1996-08-23           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Presently            O                    O                    O                    O                    
,                    O                    O                    O                    O                    
for                  O                    O                    O                    O                    
example              O                    O                    O                    O                    
,                    O                    O                    O                    O                    
if                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
accountant           O                    O                    O                    O                    
's                   O                    O                    O                    O                    
job                  O                    O                    O                    O                    
involves             O                    O                    O                    O                    
doing                O                    O                    O                    O                    
five                 O                    O                    O                    O                    
specific             O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
he                   O                    O                    O                    O                    
or                   O                    O                    O                    O                    
she                  O                    O                    O                    O                    
can                  O                    O                    O                    O                    
expect               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
certain              O                    O                    O                    O                    
salary               O                    O                    O                    O                    
,                    O                    O                    O                    O                    
said                 O                    O                    O                    O                    
Sandra               B-PER                B-PER                B-ORG                B-ORG                
O'Neal               I-PER                I-PER                I-ORG                I-ORG                
,                    O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Towers               B-ORG                B-ORG                B-ORG                B-ORG                
Perrin               I-ORG                I-ORG                I-ORG                I-ORG                
principal            O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
After                O                    O                    O                    O                    
World                B-MISC               B-MISC               B-ORG                B-MISC               
War                  I-MISC               I-MISC               I-ORG                I-MISC               
II                   I-MISC               I-MISC               I-ORG                I-MISC               
,                    O                    O                    O                    O                    
corporations         O                    O                    O                    O                    
adopted              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
military             O                    O                    O                    O                    
model                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
creating             O                    O                    O                    O                    
hierarchical         O                    O                    O                    O                    
organisations        O                    O                    O                    O                    
where                O                    O                    O                    O                    
"                    O                    O                    O                    O                    
the                  O                    O                    O                    O                    
concept              O                    O                    O                    O                    
of                   O                    O                    O                    O                    
defined              O                    O                    O                    O                    
tasks                O                    O                    O                    O                    
worked               O                    O                    O                    O                    
great                O                    O                    O                    O                    
,                    O                    O                    O                    O                    
"                    O                    O                    O                    O                    
she                  O                    O                    O                    O                    
said                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Is                   O                    O                    O                    O                    
this                 O                    O                    O                    O                    
fair                 O                    O                    O                    O                    
to                   O                    O                    O                    O                    
an                   O                    O                    O                    O                    
employee             O                    O                    O                    O                    
who                  O                    O                    O                    O                    
can                  O                    O                    O                    O                    
go                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
distance             O                    O                    O                    O                    
but                  O                    B-ORG                B-PER                B-ORG                
is                   O                    O                    O                    O                    
on                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
team                 O                    O                    O                    O                    
that                 O                    O                    O                    O                    
ca                   O                    O                    O                    O                    
n't                  O                    O                    O                    O                    
keep                 O                    O                    O                    O                    
up                   O                    O                    O                    O                    
?                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
MILAN                B-LOC                B-LOC                B-ORG                B-LOC                
1996-08-25           O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Argentine            B-MISC               B-MISC               B-MISC               B-MISC               
striker              O                    O                    O                    O                    
Gabriel              B-PER                B-PER                B-PER                B-PER                
Batistuta            I-PER                I-PER                I-PER                I-PER                
gave                 O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
the                  O                    O                    O                    O                    
perfect              O                    O                    O                    O                    
70th                 O                    O                    O                    O                    
birthday             O                    O                    O                    O                    
present              O                    O                    O                    O                    
on                   O                    O                    O                    O                    
Sunday               O                    O                    O                    O                    
with                 O                    O                    O                    O                    
two                  O                    O                    O                    O                    
goals                O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
the                  O                    B-MISC               B-ORG                B-MISC               
Italian              B-MISC               B-MISC               B-MISC               B-MISC               
Cup                  I-MISC               I-MISC               I-MISC               I-MISC               
winners              O                    O                    O                    O                    
a                    O                    O                    O                    O                    
2-1                  O                    O                    O                    O                    
Supercup             B-MISC               B-ORG                B-ORG                B-MISC               
victory              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
serie                B-MISC               O                    O                    O                    
A                    I-MISC               O                    O                    O                    
champions            O                    O                    O                    O                    
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Montenegrin          B-MISC               B-PER                B-MISC               B-PER                
midfielder           O                    O                    O                    O                    
Dejan                B-PER                B-PER                B-PER                B-PER                
Savicevic            I-PER                I-PER                I-PER                I-PER                
equalised            O                    O                    O                    O                    
for                  O                    O                    O                    O                    
the                  O                    O                    O                    O                    
home                 O                    O                    O                    O                    
team                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
weaving              O                    O                    O                    O                    
past                 O                    O                    O                    O                    
a                    O                    O                    O                    O                    
defender             O                    O                    O                    O                    
,                    O                    O                    O                    O                    
checking             O                    O                    O                    O                    
and                  O                    O                    O                    O                    
firing               O                    O                    O                    O                    
in                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
left-footed          O                    O                    O                    O                    
shot                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
21st                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
that                 O                    O                    O                    O                    
gave                 O                    O                    O                    O                    
young                O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
goalkeeper           O                    O                    O                    O                    
Francesco            B-PER                B-PER                B-PER                B-PER                
Toldo                I-PER                I-PER                I-PER                I-PER                
little               O                    O                    O                    O                    
chance               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
The                  O                    O                    O                    O                    
83rd                 O                    O                    O                    O                    
minute               O                    O                    O                    O                    
shot                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
curling              O                    O                    O                    O                    
over                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
defence              O                    O                    O                    O                    
and                  O                    O                    O                    O                    
dipping              O                    O                    O                    O                    
in                   O                    O                    O                    O                    
under                O                    O                    O                    O                    
the                  O                    O                    O                    O                    
bar                  O                    O                    O                    O                    
from                 O                    O                    O                    O                    
the                  O                    O                    O                    O                    
striker              O                    O                    O                    O                    
dubbed               O                    O                    O                    O                    
Batigol              B-PER                B-MISC               B-ORG                B-ORG                
by                   O                    O                    O                    O                    
adoring              O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
fans                 O                    O                    O                    O                    
,                    O                    O                    O                    O                    
was                  O                    O                    O                    O                    
just                 O                    O                    O                    O                    
reward               O                    O                    O                    O                    
for                  O                    O                    O                    O                    
Fiorentina           B-ORG                B-ORG                B-ORG                B-ORG                
who                  O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
far                  O                    O                    O                    O                    
more                 O                    O                    O                    O                    
impressive           O                    O                    O                    O                    
team                 O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
's                   O                    O                    O                    O                    
player               O                    O                    O                    O                    
of                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
year                 O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Weah                 I-PER                I-PER                I-PER                I-PER                
missed               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
good                 O                    O                    O                    O                    
first                O                    O                    O                    O                    
half                 O                    O                    O                    O                    
opportunity          O                    O                    O                    O                    
but                  O                    B-ORG                B-ORG                B-ORG                
otherwise            O                    O                    O                    O                    
looked               O                    O                    O                    O                    
a                    O                    O                    O                    O                    
little               O                    O                    O                    O                    
rusty                O                    O                    O                    O                    
while                O                    O                    O                    O                    
Italian              B-MISC               B-MISC               B-MISC               B-ORG                
team                 O                    O                    O                    O                    
mate                 O                    O                    O                    O                    
Roberto              B-PER                B-PER                B-PER                B-PER                
Baggio               I-PER                I-PER                I-PER                I-PER                
did                  O                    O                    O                    O                    
not                  O                    O                    O                    O                    
play                 O                    O                    O                    O                    
due                  O                    O                    O                    O                    
to                   O                    O                    O                    O                    
injury               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
New                  O                    B-MISC               B-MISC               B-MISC               
Dutch                B-MISC               B-ORG                B-MISC               B-MISC               
signing              O                    O                    O                    O                    
Edgar                B-PER                B-PER                B-PER                B-PER                
Davids               I-PER                I-PER                I-PER                I-PER                
came                 O                    O                    O                    O                    
on                   O                    O                    O                    O                    
late                 O                    O                    O                    O                    
in                   O                    O                    O                    O                    
the                  O                    O                    O                    O                    
second               O                    O                    O                    O                    
half                 O                    O                    O                    O                    
as                   O                    O                    O                    O                    
a                    O                    O                    O                    O                    
Milan                B-ORG                B-LOC                B-LOC                B-LOC                
substitute           O                    O                    O                    O                    
but                  O                    B-ORG                B-ORG                B-ORG                
made                 O                    O                    O                    O                    
little               O                    O                    O                    O                    
impact               O                    O                    O                    O                    
.                    O                    O                    O                    O                    

 
Token                Clean                Original             CLS                  SUM                  
 
Police               O                    O                    O                    O                    
Commissioner         O                    O                    O                    O                    
George               B-PER                B-PER                B-PER                B-PER                
Grech                I-PER                I-PER                I-PER                I-PER                
said                 O                    O                    O                    O                    
police               O                    O                    O                    O                    
were                 O                    O                    O                    O                    
investigating        O                    O                    O                    O                    
the                  O                    O                    O                    O                    
possibility          O                    O                    O                    O                    
that                 O                    O                    O                    O                    
Mohammed             B-PER                B-PER                B-MISC               B-PER                
